unique id,channel_name,problems,sub-probkems,order_id,order_date_time,issue_responded,customer_city,product_category,item_price,employee_name,supervisor,manager,tenure bucket,employee shift,csat score,age_daytime
4c28acf4-2ea4-4be8-b8f1-113e676fc8b7,Inbound,Order Related,Delayed,55bbace3-eb2e-4f67-aacb-4f8ee8512f75,2023-07-19 23:50:00,2023-08-02 11:14:00,NAGPUR,LifeStyle,$434.0,Stanley Hogan,Harper Wong,Emily Chen,>90,Split,1,13
4cc4df74-fcd3-413a-920d-ca3ad2dd0904,Inbound,Returns,Service Centres Related,4245d6df-49c6-491a-8724-125c4df82e75,2023-05-06 21:41:00,2023-08-01 09:03:00,RANCHI,Electronics,$1299.0,Amy Mendez,Sophia Sato,John Smith,0-30,Morning,5,86
6e51734e-9627-4a12-8062-877c3638627d,Inbound,Order Related,Installation/demo,8a1ae638-4d8c-4a5e-bf1b-eb74f881fc3d,2023-07-18 12:20:00,2023-08-02 20:05:00,NAGPUR,Electronics,$15990.0,David Butler,Olivia Wang,Emily Chen,31-60,Evening,5,15
081f62d7-332f-4aac-91cf-e79758976725,Inbound,Returns,Reverse Pickup Enquiry,2509fa08-318d-4526-8122-51603af956a8,2023-07-15 14:47:00,2023-08-01 08:57:00,BETIA,Electronics,$1099.0,Cynthia Mills,William Park,John Smith,31-60,Morning,5,16
c0edcb0a-cfa8-4f35-86ad-88c9f6b47290,Inbound,Order Related,Order status enquiry,e4eed4bb-1b1e-4894-bbd0-e2ba491b562b,2023-07-29 13:35:00,2023-08-02 11:10:00,NEW DELHI,Mobile,$99999.0,Michelle Williams,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,1,3
0187565a-b6ff-4180-9869-a29128267d51,Inbound,Order Related,Delayed,24c3e082-0548-485b-a649-7e4dac116731,2023-07-28 10:52:00,2023-08-01 16:31:00,KODERMA,Home Appliences,$3199.0,Carl Douglas,Emily Yamashita,Michael Lee,31-60,Morning,5,4
867c2b1d-3b4f-4434-87e0-125af687dc4a,Inbound,Returns,Fraudulent User,159aec02-1396-4dd7-95f4-acba7a790ff7,2023-07-25 13:49:00,2023-08-02 21:07:00,FARIDABAD,LifeStyle,$664.0,Wendy Taylor,Madison Kim,Michael Lee,31-60,Evening,5,8
3205034e-38b5-4afc-adb7-2736a63943a5,Inbound,Order Related,Order status enquiry,532a17a9-b82d-44e1-863c-a7a61cbae523,2023-07-19 00:11:00,2023-08-01 01:05:00,KANYAKUMARI,Furniture,$11159.0,Charles Williamson,Logan Lee,Emily Chen,0-30,Evening,3,13
5f1efb7c-b447-430e-abb3-b20a7f41cb1f,Inbound,Returns,Reverse Pickup Enquiry,315a0ea5-97dd-4e96-b820-5d3ca3a3fdef,2023-07-24 16:57:00,2023-08-01 00:04:00,BURDWAN,Electronics,$699.0,David Todd,Noah Patel,Michael Lee,31-60,Evening,4,7
2ad4e1cb-60e8-4a0f-91aa-c253c185ba26,Inbound,Returns,Reverse Pickup Enquiry,e91ceda3-ffb5-47f1-9f2e-1bf2e9a18cdb,2023-07-22 13:21:00,2023-08-02 07:42:00,JHUJHUNU,LifeStyle,$799.0,Colleen Morton,Zoe Yamamoto,John Smith,>90,Afternoon,1,10
d9118300-169c-418c-9f51-f88bb1808283,Inbound,Order Related,Delayed,0529e1c0-30e7-464d-8422-c876f7b6137b,2023-07-19 15:13:00,2023-08-01 08:06:00,RANGAREDDY,Mobile,$24999.0,Mrs. Jennifer Stone,Dylan Kim,Michael Lee,>90,Morning,1,12
7fa587d4-b78e-4cb2-9b86-1a374bbc5019,Inbound,Returns,Service Centres Related,180c6939-c217-4118-880c-d325f1978925,2023-06-21 17:12:00,2023-08-02 15:49:00,DHENKANAL,Electronics,$15490.0,Elizabeth Brown,Brayden Wong,Michael Lee,>90,Afternoon,5,41
fb44c670-7513-4033-9662-7ecbbcd97bee,Inbound,Returns,Reverse Pickup Enquiry,c40d0b03-7e68-4c22-84f0-598c20719598,2023-07-19 22:21:00,2023-08-01 19:12:00,VERAVAL,Home,$166.0,Sergio Carrillo,Emma Park,Jennifer Nguyen,On Job Training,Evening,5,12
5da0e227-ff4d-4ab5-9838-0aedd8feed2c,Inbound,Refund Related,Refund Related Issues,dd1e3bf1-98ed-46cb-a3cd-72e445a617ec,2023-07-26 12:04:00,2023-08-02 13:27:00,PATTAMUNDAI,Mobile,$10999.0,John Barrett,Aiden Patel,John Smith,>90,Morning,1,7
2e5772a1-0590-491a-8ffb-373ec61a874c,Inbound,Returns,Reverse Pickup Enquiry,152f045e-5a5b-4d1b-996a-d3b4cf48188e,2023-07-14 22:09:00,2023-08-01 21:02:00,PALAMU,LifeStyle,$2129.0,Seth Williamson,Sophia Sato,John Smith,>90,Afternoon,5,17
